id,employee_id,product_id,amount,sale_date,region,channel,status
1,8,3,1250.00,2024-01-05,West,Online,completed
2,9,7,840.50,2024-01-06,South,Direct,completed
3,10,1,3200.00,2024-01-08,South,Online,completed
4,8,5,560.75,2024-01-09,Midwest,Direct,refunded
5,21,2,1890.00,2024-01-10,Southwest,Online,completed
6,22,9,720.25,2024-01-11,Southwest,Direct,completed
7,9,4,4100.00,2024-01-12,South,Partner,completed
8,10,6,980.00,2024-01-15,South,Online,completed
9,8,8,1450.50,2024-01-16,Midwest,Direct,completed
10,21,3,2300.00,2024-01-17,Southwest,Online,completed
11,22,1,890.00,2024-01-18,Southwest,Direct,completed
12,9,7,1650.75,2024-01-19,South,Online,completed
13,10,5,3400.00,2024-01-22,South,Partner,completed
14,8,2,760.00,2024-01-23,Midwest,Direct,pending
15,21,4,2100.00,2024-01-24,Southwest,Online,completed
16,47,6,1300.50,2024-01-25,South,Direct,completed
17,36,9,540.25,2024-01-26,South,Online,completed
18,47,3,1780.00,2024-01-29,South,Direct,completed
19,36,8,920.75,2024-01-30,South,Online,completed
20,47,1,4500.00,2024-01-31,South,Partner,completed
21,8,7,1100.00,2024-02-01,Midwest,Online,completed
22,9,5,2650.00,2024-02-02,South,Direct,refunded
23,10,2,780.50,2024-02-05,South,Online,completed
24,21,4,3100.00,2024-02-06,Southwest,Partner,completed
25,22,6,1420.25,2024-02-07,Southwest,Online,completed
26,36,3,880.00,2024-02-08,South,Direct,completed
27,47,9,1950.75,2024-02-09,South,Online,completed
28,8,1,2200.00,2024-02-12,Midwest,Direct,completed
29,9,8,670.00,2024-02-13,South,Online,completed
30,10,7,3350.50,2024-02-14,South,Partner,completed
31,21,5,1480.00,2024-02-15,Southwest,Online,completed
32,22,2,930.25,2024-02-16,Southwest,Direct,completed
33,36,4,2750.00,2024-02-19,South,Online,pending
34,47,6,1160.75,2024-02-20,South,Direct,completed
35,8,3,1890.00,2024-02-21,Midwest,Online,completed
36,9,1,4200.00,2024-02-22,South,Partner,completed
37,10,9,840.00,2024-02-23,South,Online,completed
38,21,8,1520.50,2024-02-26,Southwest,Direct,completed
39,22,7,2080.25,2024-02-27,Southwest,Online,completed
40,36,5,1340.00,2024-02-28,South,Direct,completed
41,47,2,690.75,2024-03-01,South,Online,refunded
42,8,4,3600.00,2024-03-04,Midwest,Partner,completed
43,9,6,1230.00,2024-03-05,South,Online,completed
44,10,3,1710.50,2024-03-06,South,Direct,completed
45,21,1,2940.25,2024-03-07,Southwest,Online,completed
46,22,9,760.00,2024-03-08,Southwest,Direct,completed
47,36,8,1980.75,2024-03-11,South,Online,completed
48,47,7,1450.00,2024-03-12,South,Partner,completed
49,8,5,2820.50,2024-03-13,Midwest,Direct,completed
50,9,2,870.25,2024-03-14,South,Online,completed
51,10,4,3150.00,2024-03-15,South,Direct,completed
52,21,6,1290.75,2024-03-18,Southwest,Online,completed
53,22,3,1660.00,2024-03-19,Southwest,Direct,pending
54,36,1,4800.00,2024-03-20,South,Partner,completed
55,47,9,610.50,2024-03-21,South,Online,completed
56,8,7,2030.25,2024-03-22,Midwest,Direct,completed
57,9,5,1490.00,2024-03-25,South,Online,completed
58,10,8,930.75,2024-03-26,South,Direct,completed
59,21,2,1750.00,2024-03-27,Southwest,Online,completed
